"","porifera","bryozoa","ascidiacea_c","ascidiacea_s","foraminifera","other_algae","annelida","prokariotic_biotas","Bivalvia","Hydrozoa","Cirripedia","bare_plate","sediment","CCA"
"CINA1A",0.15625,4.39315666550737,8.33357546463599,2.22090935864809,9.79237109628535,0,3.9823529867471,7.65431696178424,0.130188801888019,12.5744186741045,0,28.5260929161297,5.24625223816696,16.9901148361026
"CINA1B",0,3.99681236374378,2.66981576291111,2.24706263505818,8.50338134095221,0,6.26154198177224,9.27051630654718,0.1275625,6.45240381514197,0.5101875,37.1260560853828,10.1861101539344,12.6485495545561
"CINA1C",0,7.69847509466651,2.44159906420856,0.58887074819728,9.15545838398872,0,5.67730299307107,9.07337194801933,1.17631158454733,7.82422406495377,1.07644166131188,28.2299811710523,6.38259208925768,20.6753711967256
"CINA2A",0.984563160685956,4.90797927336606,2.15180386196138,0.55156647127995,15.6449694857425,0.16449835501645,6.17099313047652,12.2376753776067,2.26761454704919,8.67802457317979,0,23.7323388878093,5.35051224594206,17.157460629884
"CINA2B",0,16.8718968975884,1.08030016687253,0.357128571285713,15.7245804106534,0.510416666666667,12.4943922410619,4.96236188069125,0.164495065148046,7.0428659668731,0.417056289535802,12.6472345243022,7.80249258709239,19.9247787322285
"CINA2C",0.252551020408163,10.2885416999601,1.23009878322255,0.283802582923788,17.144394011087,0.260434895651044,11.5003521758144,5.85339878858714,0.671207664292151,6.53283619247995,0,15.1984452356778,11.8345334575295,18.9494034923663
"CINA3A",0.127561224387756,14.230939724145,0.639191287537874,1.50588075711362,15.3956401042548,1.13311646083566,8.66757143234454,9.83775002153204,0,12.4320412084616,0,15.7159089576778,4.32692249101935,15.9874763306899
"CINA3B",0.27637329944728,6.01721024306281,5.6021463147032,0.270372092558149,14.6837467685997,0.15625,7.8979633245163,11.4919250824167,0.152439024390244,8.22712378770756,0.127563775637756,20.7070564711352,7.7767250266085,16.6131047892166
"CINA3C",0.457317073170732,9.60881068266724,1.72843742329784,0,25.1775617731496,0.716128360059113,7.23292232180061,4.40585835923233,0.850507627057494,3.83391974511426,0,15.7965862870777,5.32785920324755,24.8640911441255
"CINA4A",1.33222803665213,14.7986114856328,1.47203151579837,0.485442220898304,7.75750975497164,0.586998235494452,15.8255362735116,13.2569066371277,0.1689375,2.33668891864788,0,21.1887703528776,3.04600856277305,17.7443305056144
"CINA4B",0.135890388564773,10.2844334619367,2.60862673222288,0.572539440997467,5.13368061143671,0.3125,21.0553983218487,10.5373432904887,0.135890388564773,3.50268753807805,0,20.3459121884273,9.35780480216323,16.0172928352708
"CINA4C",0.547257968913778,11.7497237913744,2.05554342014132,0.549668443902223,10.0873803879134,0,18.2761710318724,5.91267661543759,2.28393122277989,0.292101133766735,0.692711425918704,18.7398374894441,5.83470774809894,22.9782893204366
"RUNA2A",3.95312713539532,3.68529648036853,0,0,5.30511361553052,0,13.3975845533922,11.4103786408814,3.0049699503005,3.17282607409732,0,14.388355908194,12.2222049992182,29.4601426426221
"RUNA2B",3.56029072856258,5.60933399430789,0,1.38886111055554,6.49529615898289,0.45052447073645,10.9745896604412,9.61996033232793,0.70249297507025,2.98986366262234,0,13.972873407677,16.1463164874078,28.0895970113081
"RUNA2C",5.47124252872852,3.78566228004387,1.58365184245587,1.31582017513158,5.75649065426974,0,12.0908200392744,6.18413725657601,2.09964900350997,7.61430193949023,0,12.7717347545484,13.2522398441247,28.0742496818468
