"num","arms","imm_time","arms_name","immersion_season","recovery_season"
1,"CINA1A","6m","CINA1","imm_hot","rec_cool"
2,"CINA1B","6m","CINA1","imm_hot","rec_cool"
3,"CINA1C","6m","CINA1","imm_hot","rec_cool"
4,"CINA2A","1y","CINA2","imm_hot","rec_hot"
5,"CINA2B","1y","CINA2","imm_hot","rec_hot"
6,"CINA2C","1y","CINA2","imm_hot","rec_hot"
7,"CINA3A","6m","CINA3","imm_cool","rec_hot"
8,"CINA3B","6m","CINA3","imm_cool","rec_hot"
9,"CINA3C","6m","CINA3","imm_cool","rec_hot"
10,"CINA4A","1y","CINA4","imm_cool","rec_cool"
11,"CINA4B","1y","CINA4","imm_cool","rec_cool"
12,"CINA4C","1y","CINA4","imm_cool","rec_cool"
13,"RUNA2A","2y","RUNA2","imm_hot","rec_hot"
14,"RUNA2B","2y","RUNA2","imm_hot","rec_hot"
15,"RUNA2C","2y","RUNA2","imm_hot","rec_hot"
